SA2_MAINCODE_2016,SA2_NAME_2016,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE
116031318,Prospect Reservoir,10,Major Cities of Australia,1,100
116031319,Rooty Hill - Minchinbury,10,Major Cities of Australia,1,100
117011320,Banksmeadow,10,Major Cities of Australia,1,100
117011321,Botany,10,Major Cities of Australia,1,100
117011322,Mascot - Eastlakes,10,Major Cities of Australia,1,100
117011323,Pagewood - Hillsdale - Daceyville,10,Major Cities of Australia,1,100
117011324,Port Botany Industrial,10,Major Cities of Australia,1,100
117011325,Sydney Airport,10,Major Cities of Australia,1,100
117021326,Marrickville,10,Major Cities of Australia,1,100
117021327,Petersham - Stanmore,10,Major Cities of Australia,1,100
117021328,Sydenham - Tempe - St Peters,10,Major Cities of Australia,1,100
117031329,Darlinghurst,10,Major Cities of Australia,1,100
117031330,Erskineville - Alexandria,10,Major Cities of Australia,1,100
117031331,Glebe - Forest Lodge,10,Major Cities of Australia,1,100
117031332,Newtown - Camperdown - Darlington,10,Major Cities of Australia,1,100
117031333,Potts Point - Woolloomooloo,10,Major Cities of Australia,1,100
117031334,Pyrmont - Ultimo,10,Major Cities of Australia,1,100
117031335,Redfern - Chippendale,10,Major Cities of Australia,1,100
117031336,Surry Hills,10,Major Cities of Australia,1,100
117031337,Sydney - Haymarket - The Rocks,10,Major Cities of Australia,1,100
117031338,Waterloo - Beaconsfield,10,Major Cities of Australia,1,100
118011339,Bondi - Tamarama - Bronte,10,Major Cities of Australia,1,100
118011340,Bondi Beach - North Bondi,10,Major Cities of Australia,1,100
118011341,Bondi Junction - Waverly,10,Major Cities of Australia,1,100
118011342,Centennial Park,10,Major Cities of Australia,1,100
118011343,Double Bay - Bellevue Hill,10,Major Cities of Australia,1,100
118011344,Dover Heights,10,Major Cities of Australia,1,100
118011345,Paddington - Moore Park,10,Major Cities of Australia,1,100
118011346,Rose Bay - Vaucluse - Watsons Bay,10,Major Cities of Australia,1,100
118011347,Woollahra,10,Major Cities of Australia,1,100
118021348,Coogee - Clovelly,10,Major Cities of Australia,1,100
118021350,Malabar - La Perouse - Chifley,10,Major Cities of Australia,1,100
118021564,Kensington (NSW),10,Major Cities of Australia,1,100
118021565,Kingsford,10,Major Cities of Australia,1,100
118021566,Maroubra - North,10,Major Cities of Australia,1,100
118021567,Maroubra - South,10,Major Cities of Australia,1,100
118021568,Maroubra - West,10,Major Cities of Australia,1,100
118021569,Randwick - North,10,Major Cities of Australia,1,100
118021570,Randwick - South,10,Major Cities of Australia,1,100
119011354,Bass Hill - Georges Hall,10,Major Cities of Australia,1,100
119011355,Chullora,10,Major Cities of Australia,1,100
119011356,Condell Park,10,Major Cities of Australia,1,100
119011357,Greenacre - Mount Lewis,10,Major Cities of Australia,1,100
119011358,Padstow,10,Major Cities of Australia,1,100
119011359,Panania - Milperra - Picnic Point,10,Major Cities of Australia,1,100
119011360,Revesby,10,Major Cities of Australia,1,100
119011361,Yagoona - Birrong,10,Major Cities of Australia,1,100
119011571,Bankstown - North,10,Major Cities of Australia,1,100
119011572,Bankstown - South,10,Major Cities of Australia,1,100
119021362,Belmore - Belfield,10,Major Cities of Australia,1,100
119021363,Canterbury (South) - Campsie,10,Major Cities of Australia,1,100
119021364,Kingsgrove (North) - Earlwood,10,Major Cities of Australia,1,100
119021366,Punchbowl,10,Major Cities of Australia,1,100
119021367,Roselands,10,Major Cities of Australia,1,100
119021573,Lakemba,10,Major Cities of Australia,1,100
119021574,Wiley Park,10,Major Cities of Australia,1,100
119031368,Hurstville,10,Major Cities of Australia,1,100
119031369,Mortdale - Penshurst,10,Major Cities of Australia,1,100
119031370,Narwee - Beverly Hills,10,Major Cities of Australia,1,100
119031371,Oatley - Hurstville Grove,10,Major Cities of Australia,1,100
119031372,Peakhurst - Lugarno,10,Major Cities of Australia,1,100
119031373,Riverwood,10,Major Cities of Australia,1,100
119031374,South Hurstville - Blakehurst,10,Major Cities of Australia,1,100
119041375,Arncliffe - Bardwell Valley,10,Major Cities of Australia,1,100
119041376,Bexley,10,Major Cities of Australia,1,100
119041377,Kingsgrove (South) - Bardwell Park,10,Major Cities of Australia,1,100
119041378,Kogarah,10,Major Cities of Australia,1,100
119041379,Kogarah Bay - Carlton - Allawah,10,Major Cities of Australia,1,100
119041380,Monterey - Brighton-le-Sands - Kyeemagh,10,Major Cities of Australia,1,100
119041381,Rockdale - Banksia,10,Major Cities of Australia,1,100
119041382,Sans Souci - Ramsgate,10,Major Cities of Australia,1,100
120011383,Concord - Mortlake - Cabarita,10,Major Cities of Australia,1,100
120011384,Concord West - North Strathfield,10,Major Cities of Australia,1,100
120011385,Drummoyne - Rodd Point,10,Major Cities of Australia,1,100
120011386,Five Dock - Abbotsford,10,Major Cities of Australia,1,100
120021387,Balmain,10,Major Cities of Australia,1,100
120021388,Leichhardt - Annandale,10,Major Cities of Australia,1,100
120021389,Lilyfield - Rozelle,10,Major Cities of Australia,1,100
120031390,Ashfield,10,Major Cities of Australia,1,100
120031391,Burwood - Croydon,10,Major Cities of Australia,1,100
120031392,Canterbury (North) - Ashbury,10,Major Cities of Australia,1,100
120031393,Croydon Park - Enfield,10,Major Cities of Australia,1,100
120031394,Dulwich Hill - Lewisham,10,Major Cities of Australia,1,100
120031395,Haberfield - Summer Hill,10,Major Cities of Australia,1,100
120031396,Homebush,10,Major Cities of Australia,1,100
120031575,Strathfield,10,Major Cities of Australia,1,100
120031576,Strathfield South,10,Major Cities of Australia,1,100
121011398,Chatswood (East) - Artarmon,10,Major Cities of Australia,1,100
121011399,Chatswood (West) - Lane Cove North,10,Major Cities of Australia,1,100
121011400,Lane Cove - Greenwich,10,Major Cities of Australia,1,100
121011401,St Leonards - Naremburn,10,Major Cities of Australia,1,100
121011402,Willoughby - Castle Cove - Northbridge,10,Major Cities of Australia,1,100
121021403,Asquith - Mount Colah,10,Major Cities of Australia,1,100
121021404,Berowra - Brooklyn - Cowan,10,Major Cities of Australia,0.8545935,85.459354
121021404,Berowra - Brooklyn - Cowan,11,Inner Regional Australia,0.1454065,14.540646
121021406,Normanhurst - Thornleigh - Westleigh,10,Major Cities of Australia,1,100
121021577,Hornsby - East,10,Major Cities of Australia,1,100
121021578,Hornsby - West,10,Major Cities of Australia,1,100
121021579,Waitara - Wahroonga (West),10,Major Cities of Australia,1,100
121031407,Gordon - Killara,10,Major Cities of Australia,1,100
121031408,Lindfield - Roseville,10,Major Cities of Australia,1,100
121031409,Pymble,10,Major Cities of Australia,1,100
121031410,St Ives,10,Major Cities of Australia,1,100
121031411,Turramurra,10,Major Cities of Australia,1,100
121031412,Wahroonga (East) - Warrawee,10,Major Cities of Australia,1,100
121041413,Cremorne - Cammeray,10,Major Cities of Australia,1,100
121041414,Crows Nest - Waverton,10,Major Cities of Australia,1,100
121041415,Mosman,10,Major Cities of Australia,1,100
121041416,Neutral Bay - Kirribilli,10,Major Cities of Australia,1,100
121041417,North Sydney - Lavender Bay,10,Major Cities of Australia,1,100
122011418,Balgowlah - Clontarf - Seaforth,10,Major Cities of Australia,1,100
122011419,Manly - Fairlight,10,Major Cities of Australia,1,100
122021420,Avalon - Palm Beach,10,Major Cities of Australia,1,100
122021421,Bayview - Elanora Heights,10,Major Cities of Australia,0.9664386,96.6438578
122021421,Bayview - Elanora Heights,11,Inner Regional Australia,0.0335614,3.3561422
122021422,Newport - Bilgola,10,Major Cities of Australia,1,100
122021423,Warriewood - Mona Vale,10,Major Cities of Australia,1,100
122031424,Beacon Hill - Narraweena,10,Major Cities of Australia,1,100
122031425,Cromer,10,Major Cities of Australia,1,100
122031426,Dee Why - North Curl Curl,10,Major Cities of Australia,1,100
122031427,Forestville - Killarney Heights,10,Major Cities of Australia,1,100
122031428,Frenchs Forest - Belrose,10,Major Cities of Australia,1,100
122031429,Freshwater - Brookvale,10,Major Cities of Australia,1,100
122031430,Manly Vale - Allambie Heights,10,Major Cities of Australia,1,100
122031431,Narrabeen - Collaroy,10,Major Cities of Australia,1,100
122031432,Terrey Hills - Duffys Forest,10,Major Cities of Australia,1,100
123011433,Camden - Ellis Lane,10,Major Cities of Australia,1,100
123011434,Elderslie - Harrington Park,10,Major Cities of Australia,1,100
123011435,Mount Annan - Currans Hill,10,Major Cities of Australia,1,100
123021436,Bradbury - Wedderburn,10,Major Cities of Australia,1,100
123021437,Campbelltown - Woodbine,10,Major Cities of Australia,1,100
123021438,Claymore - Eagle Vale - Raby,10,Major Cities of Australia,1,100
123021439,Holsworthy Military Area,10,Major Cities of Australia,1,100
123021440,Ingleburn - Denham Court,10,Major Cities of Australia,1,100
123021441,Leumeah - Minto Heights,10,Major Cities of Australia,1,100
123021442,Macquarie Fields - Glenfield,10,Major Cities of Australia,1,100
123021443,Minto - St Andrews,10,Major Cities of Australia,1,100
123021444,Rosemeadow - Glen Alpine,10,Major Cities of Australia,1,100
123031445,Bargo,11,Inner Regional Australia,1,100
123031446,Douglas Park - Appin,10,Major Cities of Australia,0.1190972,11.9097187
123031446,Douglas Park - Appin,11,Inner Regional Australia,0.8809028,88.0902813
123031447,Picton - Tahmoor - Buxton,11,Inner Regional Australia,1,100
123031448,The Oaks - Oakdale,10,Major Cities of Australia,0.2627241,26.2724134
123031448,The Oaks - Oakdale,11,Inner Regional Australia,0.7372759,73.7275866
124011449,Blackheath - Megalong Valley,11,Inner Regional Australia,1,100
124011450,Blaxland - Warrimoo - Lapstone,10,Major Cities of Australia,1,100
124011451,Blue Mountains - North,11,Inner Regional Australia,1,100
124011452,Katoomba - Leura,10,Major Cities of Australia,0.9502762,95.0276193
124011452,Katoomba - Leura,11,Inner Regional Australia,0.0497238,4.9723807
124011453,Lawson - Hazelbrook - Linden,10,Major Cities of Australia,1,100
124011454,Springwood - Winmalee,10,Major Cities of Australia,1,100
124011455,Wentworth Falls,10,Major Cities of Australia,1,100
124021456,Blue Mountains - South,11,Inner Regional Australia,1,100
124031457,Cambridge Park,10,Major Cities of Australia,1,100
124031458,Castlereagh - Cranebrook,10,Major Cities of Australia,1,100
124031459,Emu Plains - Leonay,10,Major Cities of Australia,1,100
124031460,Glenmore Park - Regentville,10,Major Cities of Australia,1,100
124031461,Jamisontown - South Penrith,10,Major Cities of Australia,1,100
124031462,Kingswood - Werrington,10,Major Cities of Australia,1,100
124031463,Mulgoa - Luddenham - Orchard Hills,10,Major Cities of Australia,0.9178369,91.783692
124031463,Mulgoa - Luddenham - Orchard Hills,11,Inner Regional Australia,0.0821631,8.216308
124031464,Penrith,10,Major Cities of Australia,1,100
124031465,Warragamba - Silverdale,11,Inner Regional Australia,1,100
124041466,Richmond - Clarendon,10,Major Cities of Australia,1,100
124041467,Windsor - Bligh Park,10,Major Cities of Australia,1,100
124041468,Yarramundi - Londonderry,10,Major Cities of Australia,1,100
124051469,Erskine Park,10,Major Cities of Australia,1,100
124051470,St Clair,10,Major Cities of Australia,1,100
124051580,Colyton - Oxley Park,10,Major Cities of Australia,1,100
124051581,St Marys - North St Marys,10,Major Cities of Australia,1,100
125011473,Homebush Bay - Silverwater,10,Major Cities of Australia,1,100
125011475,Rookwood Cemetery,10,Major Cities of Australia,1,100
125011582,Auburn - Central,10,Major Cities of Australia,1,100
125011583,Auburn - North,10,Major Cities of Australia,1,100
125011584,Auburn - South,10,Major Cities of Australia,1,100
125011585,Berala,10,Major Cities of Australia,1,100
125011586,Lidcombe,10,Major Cities of Australia,1,100
125011587,Regents Park,10,Major Cities of Australia,1,100
125021476,Carlingford,10,Major Cities of Australia,1,100
125021477,Ermington - Rydalmere,10,Major Cities of Australia,1,100
125021478,Oatlands - Dundas Valley,10,Major Cities of Australia,1,100
125031479,Chester Hill - Sefton,10,Major Cities of Australia,1,100
125031480,Fairfield - East,10,Major Cities of Australia,1,100
125031481,Granville - Clyde,10,Major Cities of Australia,1,100
125031482,Greystanes - Pemulwuy,10,Major Cities of Australia,1,100
125031483,Guildford - South Granville,10,Major Cities of Australia,1,100
125031484,Guildford West - Merrylands West,10,Major Cities of Australia,1,100
125031485,Merrylands - Holroyd,10,Major Cities of Australia,1,100
125031486,Smithfield Industrial,10,Major Cities of Australia,1,100
125031487,Yennora Industrial,10,Major Cities of Australia,1,100
125041489,North Parramatta,10,Major Cities of Australia,1,100
125041490,North Rocks,10,Major Cities of Australia,1,100
125041491,Northmead,10,Major Cities of Australia,1,100
125041492,Parramatta - Rosehill,10,Major Cities of Australia,1,100
125041493,Toongabbie - Constitution Hill,10,Major Cities of Australia,1,100
125041494,Winston Hills,10,Major Cities of Australia,1,100
125041588,Pendle Hill - Girraween,10,Major Cities of Australia,1,100
125041589,Wentworthville - Westmead,10,Major Cities of Australia,1,100
126011495,Epping - North Epping,10,Major Cities of Australia,1,100
126011496,Pennant Hills - Cheltenham,10,Major Cities of Australia,1,100
126021497,Eastwood - Denistone,10,Major Cities of Australia,1,100
126021498,Gladesville - Huntleys Point,10,Major Cities of Australia,1,100
126021499,Hunters Hill - Woolwich,10,Major Cities of Australia,1,100
126021500,Macquarie Park - Marsfield,10,Major Cities of Australia,1,100
126021501,North Ryde - East Ryde,10,Major Cities of Australia,1,100
126021503,West Ryde - Meadowbank,10,Major Cities of Australia,1,100
126021590,Putney,10,Major Cities of Australia,1,100
126021591,Ryde,10,Major Cities of Australia,1,100
127011504,Ashcroft - Busby - Miller,10,Major Cities of Australia,1,100
127011505,Austral - Greendale,10,Major Cities of Australia,0.9085714,90.8571437
127011505,Austral - Greendale,11,Inner Regional Australia,0.0914286,9.1428563
127011506,Cobbitty - Leppington,10,Major Cities of Australia,1,100
127011592,Badgerys Creek,11,Inner Regional Australia,1,100
127011593,Cecil Hills,10,Major Cities of Australia,1,100
127011594,Green Valley,10,Major Cities of Australia,1,100
127011595,Hinchinbrook,10,Major Cities of Australia,1,100
127011596,Hoxton Park - Carnes Hill - Horningsea Park,10,Major Cities of Australia,1,100
127011597,West Hoxton - Middleton Grange,10,Major Cities of Australia,1,100
127021509,Bonnyrigg Heights - Bonnyrigg,10,Major Cities of Australia,1,100
127021510,Bossley Park - Abbotsbury,10,Major Cities of Australia,1,100
127021511,Cabramatta - Lansvale,10,Major Cities of Australia,1,100
127021512,Cabramatta West - Mount Pritchard,10,Major Cities of Australia,1,100
127021513,Canley Vale - Canley Heights,10,Major Cities of Australia,1,100
127021514,Edensor Park,10,Major Cities of Australia,1,100
127021515,Fairfield,10,Major Cities of Australia,1,100
127021516,Fairfield - West,10,Major Cities of Australia,1,100
127021517,Greenfield Park - Prairiewood,10,Major Cities of Australia,1,100
127021518,Horsley Park - Kemps Creek,10,Major Cities of Australia,1,100
127021519,Smithfield - Wetherill Park,10,Major Cities of Australia,1,100
127021520,St Johns Park - Wakeley,10,Major Cities of Australia,1,100
127021521,Wetherill Park Industrial,10,Major Cities of Australia,1,100
127031522,Casula,10,Major Cities of Australia,1,100
127031523,Chipping Norton - Moorebank,10,Major Cities of Australia,1,100
127031524,Holsworthy - Wattle Grove,10,Major Cities of Australia,1,100
127031598,Liverpool,10,Major Cities of Australia,1,100
127031599,Lurnea - Cartwright,10,Major Cities of Australia,1,100
127031600,Prestons - Edmondson Park,10,Major Cities of Australia,1,100
127031601,Warwick Farm,10,Major Cities of Australia,1,100
128011529,Gymea - Grays Point,10,Major Cities of Australia,1,100
128011530,Miranda - Yowie Bay,10,Major Cities of Australia,1,100
128011531,Sylvania - Taren Point,10,Major Cities of Australia,1,100
128011602,Caringbah,10,Major Cities of Australia,1,100
128011603,Caringbah South,10,Major Cities of Australia,1,100
128011604,Cronulla - Kurnell - Bundeena,10,Major Cities of Australia,0.8966179,89.6617854
128011604,Cronulla - Kurnell - Bundeena,11,Inner Regional Australia,0.1033821,10.3382146
128011605,Lilli Pilli - Port Hacking - Dolans Bay,10,Major Cities of Australia,1,100
128011606,Woolaware - Burraneer,10,Major Cities of Australia,1,100
128021533,Heathcote - Waterfall,10,Major Cities of Australia,0.9229705,92.2970548
128021533,Heathcote - Waterfall,11,Inner Regional Australia,0.0770295,7.7029452
128021534,Illawong - Alfords Point,10,Major Cities of Australia,1,100
128021535,Menai - Lucas Heights - Woronora,10,Major Cities of Australia,1,100
128021536,Oyster Bay - Como - Jannali,10,Major Cities of Australia,1,100
128021537,Royal National Park,11,Inner Regional Australia,1,100
128021538,Sutherland - Kirrawee,10,Major Cities of Australia,1,100
128021607,Engadine,10,Major Cities of Australia,1,100
128021608,Loftus - Yarrawarrah,10,Major Cities of Australia,1,100
128021609,Woronora Heights,10,Major Cities of Australia,1,100
201011001,Alfredton,21,Inner Regional Australia,1,100
201011002,Ballarat,21,Inner Regional Australia,1,100
201011003,Ballarat - North,21,Inner Regional Australia,1,100
201011004,Ballarat - South,21,Inner Regional Australia,1,100
201011005,Buninyong,21,Inner Regional Australia,1,100
201011006,Delacombe,21,Inner Regional Australia,1,100
201011007,Smythes Creek,21,Inner Regional Australia,1,100
201011008,Wendouree - Miners Rest,21,Inner Regional Australia,1,100
201021009,Bacchus Marsh Region,21,Inner Regional Australia,1,100
201021010,Creswick - Clunes,21,Inner Regional Australia,1,100
201021011,Daylesford,21,Inner Regional Australia,1,100
201021012,Gordon (Vic.),21,Inner Regional Australia,1,100
201031013,Avoca,21,Inner Regional Australia,0.9241965,92.4196478
201031013,Avoca,22,Outer Regional Australia,0.0758035,7.5803522
201031014,Beaufort,21,Inner Regional Australia,1,100
201031015,Golden Plains - North,21,Inner Regional Australia,1,100
201031016,Maryborough (Vic.),21,Inner Regional Australia,1,100
201031017,Maryborough Region,21,Inner Regional Australia,1,100
202011018,Bendigo,21,Inner Regional Australia,1,100
202011019,California Gully - Eaglehawk,21,Inner Regional Australia,1,100
202011020,East Bendigo - Kennington,21,Inner Regional Australia,1,100
202011021,Flora Hill - Spring Gully,21,Inner Regional Australia,1,100
202011022,Kangaroo Flat - Golden Square,21,Inner Regional Australia,1,100
202011023,Maiden Gully,21,Inner Regional Australia,1,100
202011024,Strathfieldsaye,21,Inner Regional Australia,1,100
202011025,White Hills - Ascot,21,Inner Regional Australia,1,100
202021026,Bendigo Region - South,21,Inner Regional Australia,1,100
202021027,Castlemaine,21,Inner Regional Australia,1,100
202021028,Castlemaine Region,21,Inner Regional Australia,1,100
202021029,Heathcote,21,Inner Regional Australia,1,100
202021030,Kyneton,21,Inner Regional Australia,1,100
202021031,Woodend,21,Inner Regional Australia,1,100
202031032,Bendigo Region - North,21,Inner Regional Australia,1,100
202031033,Loddon,21,Inner Regional Australia,0.3735785,37.3578516
202031033,Loddon,22,Outer Regional Australia,0.6264215,62.6421484
203011034,Bannockburn,21,Inner Regional Australia,1,100
203011035,Golden Plains - South,21,Inner Regional Australia,1,100
203011036,Winchelsea,21,Inner Regional Australia,1,100
203021037,Belmont,20,Major Cities of Australia,1,100
203021038,Corio - Norlane,20,Major Cities of Australia,0.9939256,99.3925586
203021038,Corio - Norlane,21,Inner Regional Australia,0.0060744,0.6074414
203021039,Geelong,20,Major Cities of Australia,1,100
203021040,Geelong West - Hamlyn Heights,20,Major Cities of Australia,1,100
203021041,Grovedale,20,Major Cities of Australia,0.9808791,98.0879141
203021041,Grovedale,21,Inner Regional Australia,0.0191209,1.9120859
203021042,Highton,20,Major Cities of Australia,0.9841492,98.4149211
203021042,Highton,21,Inner Regional Australia,0.0158508,1.5850789
203021043,Lara,20,Major Cities of Australia,0.8624482,86.2448216
203021043,Lara,21,Inner Regional Australia,0.1375518,13.7551784
203021044,Leopold,20,Major Cities of Australia,0.9468889,94.6888852
203021044,Leopold,21,Inner Regional Australia,0.0531111,5.3111148
203021045,Newcomb - Moolap,20,Major Cities of Australia,1,100
203021046,Newtown (Vic.),20,Major Cities of Australia,1,100
203021047,North Geelong - Bell Park,20,Major Cities of Australia,0.9830589,98.3058946
203021047,North Geelong - Bell Park,21,Inner Regional Australia,0.0169411,1.6941054
203031048,Clifton Springs,21,Inner Regional Australia,1,100
203031049,Lorne - Anglesea,21,Inner Regional Australia,1,100
203031050,Ocean Grove - Barwon Heads,20,Major Cities of Australia,0.1283101,12.8310103
203031050,Ocean Grove - Barwon Heads,21,Inner Regional Australia,0.8716899,87.1689897
203031051,Portarlington,21,Inner Regional Australia,1,100
203031052,Point Lonsdale - Queenscliff,21,Inner Regional Australia,1,100
203031053,Torquay,20,Major Cities of Australia,0.0223382,2.2338178
203031053,Torquay,21,Inner Regional Australia,0.9776618,97.7661822
204011054,Alexandra,21,Inner Regional Australia,0.8396717,83.9671658
204011054,Alexandra,22,Outer Regional Australia,0.1603283,16.0328342
204011055,Euroa,21,Inner Regional Australia,1,100
204011056,Kilmore - Broadford,21,Inner Regional Australia,1,100
204011057,Mansfield (Vic.),22,Outer Regional Australia,1,100
204011058,Nagambie,21,Inner Regional Australia,1,100
204011059,Seymour,21,Inner Regional Australia,1,100
204011060,Seymour Region,21,Inner Regional Australia,1,100
204011061,Upper Yarra Valley,21,Inner Regional Australia,1,100
204011062,Yea,21,Inner Regional Australia,1,100
204021063,Benalla,21,Inner Regional Australia,1,100
204021064,Benalla Region,21,Inner Regional Australia,0.9010258,90.1025779
204021064,Benalla Region,22,Outer Regional Australia,0.0989742,9.8974221
204021065,Rutherglen,21,Inner Regional Australia,1,100
204021066,Wangaratta,21,Inner Regional Australia,1,100
204021067,Wangaratta Region,21,Inner Regional Australia,0.8976073,89.760733
204021067,Wangaratta Region,22,Outer Regional Australia,0.1023927,10.239267
204031068,Beechworth,21,Inner Regional Australia,1,100
204031069,Bright - Mount Beauty,21,Inner Regional Australia,0.2819063,28.1906323
204031069,Bright - Mount Beauty,22,Outer Regional Australia,0.7180937,71.8093677
204031070,Chiltern - Indigo Valley,21,Inner Regional Australia,1,100
204031071,Myrtleford,21,Inner Regional Australia,1,100
204031072,Towong,21,Inner Regional Australia,0.2019725,20.1972498
204031072,Towong,22,Outer Regional Australia,0.7980275,79.8027502
204031073,West Wodonga,21,Inner Regional Australia,1,100
204031074,Wodonga,21,Inner Regional Australia,1,100
204031075,Yackandandah,21,Inner Regional Australia,1,100
205011076,Drouin,21,Inner Regional Australia,1,100
205011077,Mount Baw Baw Region,21,Inner Regional Australia,0.9946613,99.4661304
205011077,Mount Baw Baw Region,22,Outer Regional Australia,0.0053387,0.5338696
205011078,Trafalgar (Vic.),21,Inner Regional Australia,1,100
205011079,Warragul,21,Inner Regional Australia,1,100
205021080,Alps - East,22,Outer Regional Australia,1,100
205021081,Bairnsdale,22,Outer Regional Australia,1,100
205021082,Bruthen - Omeo,22,Outer Regional Australia,1,100
205021083,Lake King,22,Outer Regional Australia,1,100
205021084,Lakes Entrance,22,Outer Regional Australia,1,100
205021085,Orbost,22,Outer Regional Australia,0.7482675,74.8267516
205021085,Orbost,23,Remote Australia,0.2517325,25.1732484
205021086,Paynesville,22,Outer Regional Australia,1,100
205031087,Foster,21,Inner Regional Australia,0.8322032,83.2203198
205031087,Foster,22,Outer Regional Australia,0.1677968,16.7796802
205031088,French Island,22,Outer Regional Australia,1,100
205031089,Korumburra,21,Inner Regional Australia,1,100
205031090,Leongatha,21,Inner Regional Australia,1,100
205031091,Phillip Island,21,Inner Regional Australia,1,100
205031092,Wilsons Promontory,22,Outer Regional Australia,1,100
205031093,Wonthaggi - Inverloch,21,Inner Regional Australia,1,100
205041094,Churchill,21,Inner Regional Australia,1,100
205041095,Moe - Newborough,21,Inner Regional Australia,1,100
205041096,Morwell,21,Inner Regional Australia,1,100
205041097,Traralgon,21,Inner Regional Australia,1,100
205041098,Yallourn North - Glengarry,21,Inner Regional Australia,1,100
205051099,Alps - West,22,Outer Regional Australia,1,100
205051100,Longford - Loch Sport,21,Inner Regional Australia,0.4902455,49.0245546
205051100,Longford - Loch Sport,22,Outer Regional Australia,0.5097545,50.9754454
205051101,Maffra,21,Inner Regional Australia,0.8499603,84.9960306
205051101,Maffra,22,Outer Regional Australia,0.1500397,15.0039694
205051102,Rosedale,21,Inner Regional Australia,1,100
205051103,Sale,21,Inner Regional Australia,1,100
205051104,Yarram,21,Inner Regional Australia,0.722785,72.2785048
205051104,Yarram,22,Outer Regional Australia,0.2772148,27.7214785
206011105,Brunswick,20,Major Cities of Australia,1,100
206011106,Brunswick East,20,Major Cities of Australia,1,100
206011107,Brunswick West,20,Major Cities of Australia,1,100
206011108,Coburg,20,Major Cities of Australia,1,100
206011109,Pascoe Vale South,20,Major Cities of Australia,1,100
206021110,Alphington - Fairfield,20,Major Cities of Australia,1,100
206021111,Northcote,20,Major Cities of Australia,1,100
206021112,Thornbury,20,Major Cities of Australia,1,100
206031113,Ascot Vale,20,Major Cities of Australia,1,100
206031114,Essendon - Aberfeldie,20,Major Cities of Australia,1,100
206031115,Flemington,20,Major Cities of Australia,1,100
206031116,Moonee Ponds,20,Major Cities of Australia,1,100
206041117,Carlton,20,Major Cities of Australia,1,100
206041118,Docklands,20,Major Cities of Australia,1,100
206041119,East Melbourne,20,Major Cities of Australia,1,100
206041120,Flemington Racecourse,20,Major Cities of Australia,1,100
206041121,Kensington (Vic.),20,Major Cities of Australia,1,100
206041122,Melbourne,20,Major Cities of Australia,1,100
206041123,North Melbourne,20,Major Cities of Australia,1,100
206041124,Parkville,20,Major Cities of Australia,1,100
206041125,South Yarra - West,20,Major Cities of Australia,1,100
206041126,Southbank,20,Major Cities of Australia,1,100
206041127,West Melbourne,20,Major Cities of Australia,1,100
206051128,Albert Park,20,Major Cities of Australia,1,100
206051129,Elwood,20,Major Cities of Australia,1,100
206051130,Port Melbourne,20,Major Cities of Australia,1,100
206051131,Port Melbourne Industrial,20,Major Cities of Australia,1,100
206051132,South Melbourne,20,Major Cities of Australia,1,100
206051133,St Kilda,20,Major Cities of Australia,1,100
206051134,St Kilda East,20,Major Cities of Australia,1,100
206061135,Armadale,20,Major Cities of Australia,1,100
206061136,Prahran - Windsor,20,Major Cities of Australia,1,100
206061137,South Yarra - East,20,Major Cities of Australia,1,100
206061138,Toorak,20,Major Cities of Australia,1,100
206071139,Abbotsford,20,Major Cities of Australia,1,100
206071140,Carlton North - Princes Hill,20,Major Cities of Australia,1,100
206071141,Collingwood,20,Major Cities of Australia,1,100
206071142,Fitzroy,20,Major Cities of Australia,1,100
206071143,Fitzroy North,20,Major Cities of Australia,1,100
206071144,Richmond (Vic.),20,Major Cities of Australia,1,100
206071145,Yarra - North,20,Major Cities of Australia,1,100
207011146,Ashburton (Vic.),20,Major Cities of Australia,1,100
207011147,Balwyn,20,Major Cities of Australia,1,100
207011148,Balwyn North,20,Major Cities of Australia,1,100
207011149,Camberwell,20,Major Cities of Australia,1,100
207011150,Glen Iris - East,20,Major Cities of Australia,1,100
207011151,Hawthorn,20,Major Cities of Australia,1,100
207011152,Hawthorn East,20,Major Cities of Australia,1,100
207011153,Kew,20,Major Cities of Australia,1,100
207011154,Kew East,20,Major Cities of Australia,1,100
207011155,Surrey Hills (West) - Canterbury,20,Major Cities of Australia,1,100
207021156,Bulleen,20,Major Cities of Australia,1,100
207021157,Doncaster,20,Major Cities of Australia,1,100
207021159,Templestowe,20,Major Cities of Australia,1,100
207021160,Templestowe Lower,20,Major Cities of Australia,1,100
207021424,Doncaster East (North),20,Major Cities of Australia,1,100
207021425,Doncaster East (South),20,Major Cities of Australia,1,100
207031161,Blackburn,20,Major Cities of Australia,1,100
207031162,Blackburn South,20,Major Cities of Australia,1,100
207031163,Box Hill,20,Major Cities of Australia,1,100
207031164,Box Hill North,20,Major Cities of Australia,1,100
207031165,Burwood,20,Major Cities of Australia,1,100
207031166,Burwood East,20,Major Cities of Australia,1,100
207031167,Surrey Hills (East) - Mont Albert,20,Major Cities of Australia,1,100
208011168,Beaumaris,20,Major Cities of Australia,1,100
208011169,Brighton (Vic.),20,Major Cities of Australia,1,100
208011170,Brighton East,20,Major Cities of Australia,1,100
208011171,Cheltenham - Highett (West),20,Major Cities of Australia,1,100
